prediction,sample
left_hand,4159
left_hand,4223
left_hand,4287
left_hand,4351
left_hand,4415
left_hand,4479
,4543
,4607
,4671
,4735
,4799
,4863
,4927
,4991
,5055
,5119
,5183
,5247
,5311
,5375
,5439
,5503
,5567
,5631
,5695
,5759
,5823
,5887
,5951
,6015
,6079
,6143
,6207
,6271
,6335
,6399
,6463
,6527
,6591
,6655
,6719
,6783
,6847
,6911
,6975
,7039
,7103
,7167
,7231
,7295
,7359
left_hand,7423
left_hand,7487
left_hand,7551
left_hand,7615
left_hand,7679
left_hand,7743
left_hand,7807
left_hand,7871
left_hand,7935
left_hand,7999
left_hand,8063
left_hand,8127
left_hand,8191
,8255
,8319
left_hand,8383
left_hand,8447
,8511
,8575
,8639
,8703
,8767
,8831
,8895
,8959
,9023
left_hand,9087
left_hand,9151
left_hand,9215
left_hand,9279
,9343
,9407
,9471
,9535
left_hand,9599
left_hand,9663
left_hand,9727
left_hand,9791
left_hand,9855
left_hand,9919
left_hand,9983
,10047
,10111
,10175
,10239
left_hand,10303
left_hand,10367
left_hand,10431
left_hand,10495
left_hand,10559
left_hand,10623
left_hand,10687
left_hand,10751
left_hand,10815
left_hand,10879
left_hand,10943
left_hand,11007
left_hand,11071
left_hand,11135
left_hand,11199
left_hand,11263
left_hand,11327
left_hand,11391
left_hand,11455
left_hand,11519
left_hand,11583
left_hand,11647
,11711
,11775
,11839
,11903
,11967
,12031
,12095
,12159
,12223
,12287
,12351
,12415
,12479
,12543
right_hand,12607
right_hand,12671
,12735
,12799
right_hand,12863
,12927
,12991
right_hand,13055
right_hand,13119
right_hand,13183
right_hand,13247
right_hand,13311
right_hand,13375
right_hand,13439
,13503
,13567
right_hand,13631
right_hand,13695
,13759
,13823
,13887
,13951
,14015
,14079
,14143
left_hand,14207
left_hand,14271
left_hand,14335
left_hand,14399
left_hand,14463
left_hand,14527
left_hand,14591
left_hand,14655
left_hand,14719
left_hand,14783
left_hand,14847
left_hand,14911
,14975
,15039
,15103
,15167
,15231
right_hand,15295
right_hand,15359
right_hand,15423
right_hand,15487
right_hand,15551
right_hand,15615
,15679
,15743
,15807
,15871
,15935
,15999
,16063
,16127
,16191
,16255
,16319
,16383
,16447
,16511
,16575
,16639
,16703
,16767
,16831
,16895
,16959
,17023
,17087
,17151
,17215
,17279
,17343
,17407
,17471
,17535
,17599
,17663
,17727
,17791
,17855
,17919
,17983
,18047
,18111
,18175
,18239
,18303
left_hand,18367
left_hand,18431
left_hand,18495
left_hand,18559
left_hand,18623
left_hand,18687
left_hand,18751
left_hand,18815
left_hand,18879
left_hand,18943
