sample,prediction,p_left_raw,p_right_raw,name,p_left_smooth,p_right_smooth,alpha,threshold
4004,right_hand,6.917947030160576e-05,0.9999308586120605,ExponentialSmoothing,6.917947030160576e-05,0.9999308586120605,0.85,0.75
4029,right_hand,6.258211942622438e-05,0.9999374151229858,ExponentialSmoothing,6.818986767029855e-05,0.9999318420886993,0.85,0.75
4079,right_hand,6.23239393462427e-05,0.9999376535415649,ExponentialSmoothing,6.730997842169017e-05,0.9999327138066292,0.85,0.75
4104,right_hand,7.037114846752957e-05,0.999929666519165,ExponentialSmoothing,6.776915392856608e-05,0.9999322567135096,0.85,0.75
4154,right_hand,9.77084127953276e-05,0.9999022483825684,ExponentialSmoothing,7.226004275858032e-05,0.9999277554638685,0.85,0.75
4179,right_hand,0.00010105879482580349,0.9998989105224609,ExponentialSmoothing,7.65798555686638e-05,0.9999234287226573,0.85,0.75
4229,right_hand,0.0001620249531697482,0.9998379945755005,ExponentialSmoothing,8.939662020882646e-05,0.9999106136005838,0.85,0.75
4254,right_hand,0.00022691048798151314,0.9997730851173401,ExponentialSmoothing,0.00011002370037472946,0.9998899843280973,0.85,0.75
4304,right_hand,0.0005579646676778793,0.9994420409202576,ExponentialSmoothing,0.00017721484547020196,0.9998227928169213,0.85,0.75
4329,right_hand,0.0007311200024560094,0.9992688298225403,ExponentialSmoothing,0.0002603006190180731,0.9997396983677642,0.85,0.75
4379,right_hand,0.0010823511984199286,0.9989176988601685,ExponentialSmoothing,0.00038360820592835143,0.9996163984416249,0.85,0.75
4404,right_hand,0.001028337748721242,0.998971700668335,ExponentialSmoothing,0.000480317637347285,0.9995196937756314,0.85,0.75
4454,right_hand,0.001019659684970975,0.9989803433418274,ExponentialSmoothing,0.0005612189444908385,0.9994387912105609,0.85,0.75
4479,right_hand,0.0007314260001294315,0.9992685914039612,ExponentialSmoothing,0.0005867500028366274,0.999413261239571,0.85,0.75
4504,right_hand,0.0005834372714161873,0.9994165897369385,ExponentialSmoothing,0.0005862530931235614,0.9994137605141762,0.85,0.75
4554,right_hand,0.0005414996412582695,0.9994584918022156,ExponentialSmoothing,0.0005795400753437676,0.9994204702073821,0.85,0.75
4604,right_hand,0.0011969073675572872,0.9988031387329102,ExponentialSmoothing,0.0006721451691757955,0.9993278704862113,0.85,0.75
4654,right_hand,0.001287633553147316,0.998712420463562,ExponentialSmoothing,0.0007644684267715236,0.9992355529828139,0.85,0.75
4704,right_hand,0.0013275209348648787,0.9986724853515625,ExponentialSmoothing,0.0008489263029855269,0.9991510928381262,0.85,0.75
4754,right_hand,0.00095063989283517,0.9990493655204773,ExponentialSmoothing,0.0008641833414629735,0.9991358337404789,0.85,0.75
4779,right_hand,0.0007449768017977476,0.9992550015449524,ExponentialSmoothing,0.0008463023605131896,0.99915370891115,0.85,0.75
4829,right_hand,0.0005452183540910482,0.9994547963142395,ExponentialSmoothing,0.0008011397595498684,0.9991988720216134,0.85,0.75
4854,right_hand,0.00043536402517929673,0.9995645880699158,ExponentialSmoothing,0.0007462733993942827,0.9992537294288587,0.85,0.75
4904,right_hand,0.0006080049788579345,0.999392032623291,ExponentialSmoothing,0.0007255331363138304,0.9992744749080236,0.85,0.75
4929,right_hand,0.0004789291706401855,0.9995211362838745,ExponentialSmoothing,0.0006885425414627838,0.9993114741144012,0.85,0.75
4954,right_hand,0.0006599792977795005,0.9993399977684021,ExponentialSmoothing,0.0006842580549102912,0.9993157526625014,0.85,0.75
5004,right_hand,0.0005768975825048983,0.9994231462478638,ExponentialSmoothing,0.0006681539840494823,0.9993318617003057,0.85,0.75
5054,right_hand,0.0002892253687605262,0.999710738658905,ExponentialSmoothing,0.0006113146917561389,0.9993886932440956,0.85,0.75
5079,right_hand,0.00024593769921921194,0.999754011631012,ExponentialSmoothing,0.0005565081428755999,0.999443491002133,0.85,0.75
5129,right_hand,0.0004021170607302338,0.9995978474617004,ExponentialSmoothing,0.0005333494805537949,0.9994666444710683,0.85,0.75
5154,right_hand,0.0005849891458638012,0.9994150400161743,ExponentialSmoothing,0.0005410954303502959,0.9994589038028342,0.85,0.75
5204,right_hand,0.0007500677020289004,0.9992498755455017,ExponentialSmoothing,0.0005724412711020866,0.9994275495642343,0.85,0.75
5229,right_hand,0.0008765144157223403,0.9991235136985779,ExponentialSmoothing,0.0006180522427951246,0.9993819441843859,0.85,0.75
5279,right_hand,0.0010383332846686244,0.9989616870880127,ExponentialSmoothing,0.0006810943990761495,0.9993189056199299,0.85,0.75
5304,right_hand,0.0012055844999849796,0.998794436454773,ExponentialSmoothing,0.0007597679142124741,0.9992402352451563,0.85,0.75
5354,right_hand,0.0020192472729831934,0.9979807734489441,ExponentialSmoothing,0.0009486898180280821,0.9990513159757244,0.85,0.75
5379,right_hand,0.0022039455361664295,0.9977960586547852,ExponentialSmoothing,0.0011369781757488342,0.9988630273775835,0.85,0.75
5429,right_hand,0.0028618278447538614,0.9971381425857544,ExponentialSmoothing,0.0013957056260995883,0.9986042946588092,0.85,0.75
5454,right_hand,0.003415316343307495,0.9965846538543701,ExponentialSmoothing,0.0016986472336807746,0.9983013485381433,0.85,0.75
