sample,prediction,p_left_raw,p_right_raw,name,p_left_smooth,p_right_smooth,alpha,threshold
3986,right_hand,0.0003864517202600837,0.9996135830879211,ExponentialSmoothing,0.0003864517202600837,0.9996135830879211,0.85,0.75
4011,right_hand,0.0005729303229600191,0.999427080154419,ExponentialSmoothing,0.000414423510665074,0.9995856076478957,0.85,0.75
4061,right_hand,0.0005594067042693496,0.999440610408783,ExponentialSmoothing,0.0004361709897057154,0.9995638580620289,0.85,0.75
4086,right_hand,0.00038785141077823937,0.9996121525764465,ExponentialSmoothing,0.000428923052866594,0.9995711022391915,0.85,0.75
4111,right_hand,0.0003019652795046568,0.9996980428695679,ExponentialSmoothing,0.0004098793868623034,0.999590143333748,0.85,0.75
4161,right_hand,0.0005130480858497322,0.9994869232177734,ExponentialSmoothing,0.00042535469171041775,0.9995746603163518,0.85,0.75
4211,right_hand,0.0010052103316411376,0.998994767665863,ExponentialSmoothing,0.0005123330377000257,0.9994876764187784,0.85,0.75
4236,right_hand,0.002314710058271885,0.9976853132247925,ExponentialSmoothing,0.0007826895907858046,0.9992173219396806,0.85,0.75
4286,right_hand,0.019305748865008354,0.9806942939758301,ExponentialSmoothing,0.0035611484819191874,0.996438867745103,0.85,0.75
4311,right_hand,0.08134042471647263,0.9186596274375916,ExponentialSmoothing,0.015228039917102205,0.9847719816989763,0.85,0.75
4361,right_hand,0.9755793809890747,0.02442064881324768,ExponentialSmoothing,0.1592807410778981,0.8407192817661169,0.85,0.75
4386,rest,0.9914247989654541,0.008575149811804295,ExponentialSmoothing,0.28410234976103155,0.7158976619729699,0.85,0.75
4436,rest,0.9962210655212402,0.0037788888439536095,ExponentialSmoothing,0.3909201571250629,0.6090798460036174,0.85,0.75
4461,rest,0.9977346658706665,0.002265291754156351,ExponentialSmoothing,0.4819423334369034,0.5180576628661983,0.85,0.75
4486,rest,0.9987188577651978,0.0012811291962862015,ExponentialSmoothing,0.5594588120861476,0.4405411828157114,0.85,0.75
4536,rest,0.9989957213401794,0.0010043071815744042,ExponentialSmoothing,0.6253893484742523,0.37461065147059086,0.85,0.75
4586,rest,0.9987383484840393,0.0012617079773917794,ExponentialSmoothing,0.6813916984757205,0.318608309946611,0.85,0.75
4611,rest,0.9980015158653259,0.001998421736061573,ExponentialSmoothing,0.7288831710841613,0.27111682671502857,0.85,0.75
4661,left_hand,0.9983376264572144,0.0016623797127977014,ExponentialSmoothing,0.7693013393901194,0.23069865966469394,0.85,0.75
4686,left_hand,0.9986010193824768,0.0013989299768581986,ExponentialSmoothing,0.8036962913889729,0.19630370021151858,0.85,0.75
4736,left_hand,0.9985501170158386,0.0014498677337542176,ExponentialSmoothing,0.8329243652330027,0.1670756253398539,0.85,0.75
4761,left_hand,0.9991638660430908,0.0008361772052012384,ExponentialSmoothing,0.8578602903545158,0.142139708119656,0.85,0.75
4811,left_hand,0.9990399479866028,0.0009600372868590057,ExponentialSmoothing,0.8790372389993288,0.12096275749473645,0.85,0.75
4836,left_hand,0.999078631401062,0.0009213730809278786,ExponentialSmoothing,0.8970434478595888,0.10295654983266515,0.85,0.75
4861,left_hand,0.9989147186279297,0.0010852597188204527,ExponentialSmoothing,0.91232413847484,0.08767585631558844,0.85,0.75
4911,left_hand,0.9990196228027344,0.0009803799912333488,ExponentialSmoothing,0.925328461124024,0.07467153486693517,0.85,0.75
4936,left_hand,0.9989069700241089,0.001092981081455946,ExponentialSmoothing,0.9363652374590368,0.06363475179911328,0.85,0.75
4986,left_hand,0.9994438290596008,0.0005561875295825303,ExponentialSmoothing,0.9458270261991214,0.054172967158683666,0.85,0.75
5036,left_hand,0.9993900060653687,0.0006099978927522898,ExponentialSmoothing,0.9538614731790586,0.04613852176879396,0.85,0.75
5061,left_hand,0.9995877146720886,0.000412273861002177,ExponentialSmoothing,0.9607204094030131,0.03927958458262519,0.85,0.75
5086,left_hand,0.9995536208152771,0.0004463440563995391,ExponentialSmoothing,0.9665453911148527,0.03345459850369134,0.85,0.75
5136,left_hand,0.9997265934944153,0.0002733966975938529,ExponentialSmoothing,0.9715225714717872,0.02847741823277672,0.85,0.75
5161,left_hand,0.9997565150260925,0.00024352408945560455,ExponentialSmoothing,0.975757663004933,0.024242334111278553,0.85,0.75
5211,left_hand,0.9998204112052917,0.00017964646394830197,ExponentialSmoothing,0.9793670752349868,0.020632930964179015,0.85,0.75
5236,left_hand,0.9997637867927551,0.00023622476146556437,ExponentialSmoothing,0.982426581968652,0.017573425033771996,0.85,0.75
5286,left_hand,0.9998512268066406,0.00014878484944347292,ExponentialSmoothing,0.9850402786943503,0.014959729006122717,0.85,0.75
5311,left_hand,0.9998421669006348,0.00015784062270540744,ExponentialSmoothing,0.987260561925293,0.01273944574861012,0.85,0.75
5361,left_hand,0.9998089671134949,0.00019108755805063993,ExponentialSmoothing,0.9891428227035233,0.010857192020026198,0.85,0.75
5411,left_hand,0.9996209144592285,0.00037901909672655165,ExponentialSmoothing,0.990714536466879,0.009285466081531251,0.85,0.75
5436,left_hand,0.9996498823165894,0.0003501647734083235,ExponentialSmoothing,0.9920548383443356,0.007945170885312812,0.85,0.75
