time,P8,O2,P4,C4,F8,F4,Oz,Cz,Fz,Pz,F3,O1,P7,C3,P3,F7,Accel_x,Accel_y,Accel_z,Digital,Battery
444235.9990040916,177794.046875,179736.265625,176501.890625,205655.1875,181075.0625,200915.65625,175807.46875,171732.859375,178100.796875,180701.96875,197103.0,188632.6875,189833.484375,208100.53125,209692.21875,192721.75,9.905696868896484,0.267721563577652,-0.07649187743663788,1.0,51.0
444236.00300144235,177790.53125,179755.046875,176495.6875,205679.703125,181070.765625,200943.75,175805.71875,171726.75,178095.03125,180713.625,197132.265625,188645.59375,189858.625,208127.34375,209720.171875,192747.15625,9.905696868896484,0.267721563577652,-0.07649187743663788,1.0,51.0
444236.0069987932,177792.0625,179748.875,176510.40625,205677.15625,181088.296875,200942.984375,175804.28125,171743.453125,178113.59375,180716.953125,197130.421875,188643.3125,189856.515625,208125.375,209718.9375,192744.8125,9.905696868896484,0.267721563577652,-0.07649187743663788,1.0,51.0
444236.0109961442,177795.5625,179726.140625,176524.53125,205650.703125,181103.125,200913.921875,175804.015625,171758.578125,178129.859375,180707.703125,197099.921875,188628.421875,189830.03125,208097.109375,209690.90625,192717.59375,9.905696868896484,0.267721563577652,-0.07649187743663788,1.0,51.0
444236.01499349525,177796.59375,179717.734375,176519.65625,205636.140625,181095.609375,200896.078125,175806.234375,171753.609375,178123.09375,180697.703125,197082.1875,188621.28125,189815.84375,208080.671875,209675.359375,192702.328125,9.905696868896484,0.267721563577652,-0.07649187743663788,1.0,51.0
444236.0189908464,177793.4375,179735.796875,176502.359375,205653.8125,181075.5625,200914.390625,175808.375,171735.203125,178102.234375,180701.0625,197102.5625,188631.4375,189834.109375,208099.125,209695.640625,192720.9375,9.867450714111328,0.1912296712398529,-0.03824593871831894,1.0,51.0
444236.0229881976,177789.421875,179753.640625,176496.03125,205677.453125,181070.203125,200941.578125,175805.59375,171727.21875,178095.421875,180712.0625,197131.0625,188643.546875,189858.421875,208124.765625,209723.09375,192746.015625,9.867450714111328,0.1912296712398529,-0.03824593871831894,1.0,51.0
444236.026985549,177790.328125,179746.828125,176510.4375,205674.0625,181086.765625,200940.34375,175803.40625,171743.046875,178113.296875,180715.9375,197129.015625,188640.859375,189856.109375,208121.890625,209721.453125,192743.46875,9.867450714111328,0.1912296712398529,-0.03824593871831894,1.0,51.0
444236.03098290047,177795.1875,179724.734375,176525.796875,205648.28125,181103.125,200912.46875,175804.578125,171759.578125,178130.390625,180706.421875,197099.28125,188627.09375,189830.765625,208093.359375,209693.953125,192716.578125,9.867450714111328,0.1912296712398529,-0.03824593871831894,1.0,51.0
444236.03498025204,177796.09375,179715.84375,176520.328125,205633.328125,181095.75,200894.375,175806.53125,171753.484375,178122.859375,180694.6875,197080.671875,188619.28125,189815.875,208075.546875,209677.46875,192700.5625,9.867450714111328,0.1912296712398529,-0.03824593871831894,1.0,51.0
